id,question_id
41,2
80,2
6408,2
10238,2
17042,2
11971,2
11972,2
30787,2
13213,2
13214,2
13215,2
13216,2
18765,2
18988,2
21321,2
22424,2
25395,2
25737,2
26111,2
26509,2
29363,2
33033,2
35997,2
36571,2
37111,2
41306,2
41307,2
11552,2
11553,2
11554,2
11555,2
11556,2
11557,2
11558,2
11903,2
11973,2
14854,2
16918,2
20215,2
24581,2
24583,2
24584,2
24586,2
29236,2
30249,2
31125,2
33968,2
33997,2
38694,2
41308,2
41309,2
41852,2
42163,2
48738,2
49797,2
54255,2
54691,2
56343,2
56627,2
64252,2
70331,2
74347,2
76540,2
87796,2
87842,2
88956,2
52011,2
52621,2
53764,2
54689,2
54692,2
54690,2
55329,2
59010,2
61819,2
62146,2
62655,2
62657,2
62659,2
62658,2
64708,2
68322,2
69074,2
70333,2
70332,2
70953,2
71098,2
71089,2
71617,2
74346,2
74345,2
74344,2
74348,2
75413,2
75411,2
75412,2
76644,2
76975,2
77199,2
77369,2
77705,2
87770,2
87813,2
87923,2
5216,2
78,3
1346,3
1935,3
1936,3
16201,3
10239,3
16910,3
11561,3
11563,3
11562,3
11564,3
11560,3
17044,3
11904,3
11974,3
11976,3
11975,3
30789,3
12784,3
13183,3
13187,3
13217,3
13218,3
13220,3
13219,3
32564,3
14857,3
18766,3
18989,3
20226,3
20478,3
31474,3
21317,3
22426,3
22622,3
24589,3
24587,3
24592,3
24593,3
24590,3
25390,3
25752,3
26113,3
29364,3
87769,3
34944,3
35999,3
36570,3
37110,3
48741,3
50945,3
39800,3
41311,3
41310,3
41313,3
41312,3
41851,3
42162,3
53155,3
53765,3
54254,3
54688,3
54686,3
54685,3
54687,3
55327,3
56306,3
56598,3
56792,3
57086,3
57200,3
59009,3
59769,3
62897,3
62899,3
62901,3
62900,3
64483,3
66890,3
69073,3
70286,3
70285,3
70287,3
70827,3
71092,3
71696,3
1118,3
13189,3
18109,3
1128,3
13188,3
13190,3
13191,3
18110,3
30251,3
75410,3
87768,3
88994,3
76505,3
76645,3
76970,3
77198,3
77364,3
77582,3
78938,3
80279,3
57070,3
87795,3
87815,3
87891,3
87930,3
87932,3
88294,3
89008,3
89531,3
89562,3
1917,4
10240,4
16919,4
11568,4
11574,4
11565,4
11567,4
11566,4
17043,4
11905,4
30788,4
13192,4
13193,4
14856,4
18767,4
18987,4
56526,4
21315,4
22425,4
22623,4
24597,4
24599,4
24600,4
24595,4
25426,4
25393,4
25750,4
26112,4
45826,4
29234,4
29362,4
35603,4
36001,4
36573,4
37114,4
48740,4
58319,4
50207,4
51219,4
41316,4
41314,4
41317,4
41315,4
